ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason,sizing_method,initial_risk_dollars,r_multiple,entry_log,exit_log
AAPL,2012-01-31,13.664921760559082,2012-04-13,18.117822647094727,146.36015010145016,651.7272421402374,32.58636210701187,trend_exit,atr_unit,60.97514005516516,10.688409104933742,"Entered long AAPL at $13.66, sized to risk 1.0% of equity (N=$0.21, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $18.12 (+32.59%, up, +10.7R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-01-31,102.02481079101562,2012-03-06,104.68965911865234,19.60307482556117,52.239221165434174,2.6119610582717074,trend_exit,atr_unit,40.587724043785194,1.2870694870468615,"Entered long SPY at $102.02, sized to risk 1.0% of equity (N=$1.04, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $104.69 (+2.61%, up, +1.3R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-02-14,23.741100311279297,2012-03-21,25.043922424316406,79.33811555476846,103.36345135144597,5.487623134375723,trend_exit,atr_unit,64.42080441475976,1.6045042015613806,"Entered long MSFT at $23.74, sized to risk 1.0% of equity (N=$0.41, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $25.04 (+5.49%, up, +1.6R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-03-13,108.81510925292969,2012-04-05,109.081298828125,17.386152873501686,4.628012647678361,0.2446255644301949,trend_exit,atr_unit,33.8905967970791,0.1365574255121182,"Entered long SPY at $108.82, sized to risk 1.0% of equity (N=$0.97, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $109.08 (+0.24%, up, +0.1R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-04-20,25.444171905517578,2012-05-04,24.314029693603516,84.98573242983177,-96.04596362938673,-4.441654521556627,stop_loss,atr_unit,81.0396261923272,-1.1851728363288072,"Entered long MSFT at $25.44, sized to risk 1.0% of equity (N=$0.48, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $24.31 (-4.44%, down, -1.2R) because price dropped 2.0N from entry (N = ATR-based volatility unit), triggering the stop-loss."
AAPL,2012-04-25,18.260610580444336,2012-04-27,18.051063537597656,90.44948953306817,-18.953423058646194,-1.1475357952766811,trend_exit,atr_unit,107.97285030893254,-0.17553878594865796,"Entered long AAPL at $18.26, sized to risk 1.0% of equity (N=$0.60, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $18.05 (-1.15%, down, -0.2R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-05-23,17.0799560546875,2012-05-24,16.923093795776367,121.35661513879401,-19.03627278448039,-0.918399663376668,trend_exit,atr_unit,106.96958540616765,-0.17795967622197398,"Entered long AAPL at $17.08, sized to risk 1.0% of equity (N=$0.44, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $16.92 (-0.92%, down, -0.2R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-05-30,17.337709426879883,2012-06-01,16.793474197387695,123.1756976071769,-67.03655405510244,-3.139026131378237,trend_exit,atr_unit,105.80744508250218,-0.6335712387992304,"Entered long AAPL at $17.34, sized to risk 1.0% of equity (N=$0.43, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $16.79 (-3.14%, down, -0.6R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-06-04,16.89225959777832,2012-06-25,17.08624267578125,119.38285047527945,23.158252795958106,1.1483548241730932,trend_exit,atr_unit,106.1088571377718,0.2182499502929281,"Entered long AAPL at $16.89, sized to risk 1.0% of equity (N=$0.44, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $17.09 (+1.15%, up, +0.2R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-06-14,104.14964294433594,2012-06-25,103.00289154052734,20.425916978732985,-23.42344896943996,-1.1010612916085456,trend_exit,atr_unit,67.00671507471709,-0.3495686804422692,"Entered long SPY at $104.15, sized to risk 1.0% of equity (N=$1.64, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $103.00 (-1.10%, down, -0.3R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-06-15,23.715192794799805,2012-07-09,23.69939422607422,89.96603009141045,-1.4213345093671705,-0.0666179223685257,trend_exit,atr_unit,85.92519415078594,-0.016541533870414536,"Entered long MSFT at $23.72, sized to risk 1.0% of equity (N=$0.48, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $23.70 (-0.07%, down, -0.0R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-06-29,106.75218200683594,2012-07-10,105.21479797363281,19.954873715609565,-30.67830423496298,-1.4401429594241715,trend_exit,atr_unit,63.177579192357385,-0.48558847342910133,"Entered long SPY at $106.75, sized to risk 1.0% of equity (N=$1.58, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $105.21 (-1.44%, down, -0.5R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-06-29,17.48228645324707,2012-07-25,17.211971282958984,119.34250374779147,-32.26008922319079,-1.5462232071931241,trend_exit,atr_unit,72.0692220894264,-0.44762643869197266,"Entered long AAPL at $17.48, sized to risk 1.0% of equity (N=$0.30, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $17.21 (-1.55%, down, -0.4R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-07-18,24.05488395690918,2012-07-23,23.13060188293457,88.61441178689707,-81.9047123104333,-3.8423884132233854,trend_exit,atr_unit,93.59515454768228,-0.8750956468446958,"Entered long MSFT at $24.05, sized to risk 1.0% of equity (N=$0.53, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $23.13 (-3.84%, down, -0.9R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-07-20,107.04242706298828,2012-07-23,105.95995330810547,19.70577728245012,-21.330986727818072,-1.01125673677582,trend_exit,atr_unit,51.99564883178831,-0.41024561106692176,"Entered long SPY at $107.04, sized to risk 1.0% of equity (N=$1.32, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $105.96 (-1.01%, down, -0.4R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-07-26,106.80705261230469,2012-08-30,110.19549560546875,19.554935437652627,66.26078396548974,3.1724899342215327,trend_exit,atr_unit,54.465834125071005,1.2165568567872063,"Entered long SPY at $106.81, sized to risk 1.0% of equity (N=$1.39, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $110.20 (+3.17%, up, +1.2R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-07-31,18.283363342285156,2012-09-11,19.859943389892578,114.49366526162166,180.50842822891582,8.623030774437217,trend_exit,atr_unit,82.78253559400179,2.1805134009690206,"Entered long AAPL at $18.28, sized to risk 1.0% of equity (N=$0.36, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $19.86 (+8.62%, up, +2.2R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-08-22,24.285808563232422,2012-08-30,24.11086082458496,80.9366534066081,-14.15968448717922,-0.7203702450011223,trend_exit,atr_unit,56.252525173577126,-0.25171642416917295,"Entered long MSFT at $24.29, sized to risk 1.0% of equity (N=$0.35, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $24.11 (-0.72%, down, -0.3R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-08-31,24.50846290588379,2012-09-04,24.166521072387695,81.06636275759996,-27.719980716193277,-1.3951990168016746,trend_exit,atr_unit,50.833104818381166,-0.5453135474457539,"Entered long MSFT at $24.51, sized to risk 1.0% of equity (N=$0.31, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $24.17 (-1.40%, down, -0.5R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-08-31,110.7210464477539,2012-09-04,110.6191177368164,19.31275389506465,-1.9685241091774515,-0.0920590205815994,trend_exit,atr_unit,30.948117733785185,-0.0636072321460917,"Entered long SPY at $110.72, sized to risk 1.0% of equity (N=$0.80, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $110.62 (-0.09%, down, -0.1R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2012-09-06,24.929931640625,2012-09-24,24.476659774780273,78.30574500292037,-35.4937911438351,-1.8181833483493777,trend_exit,atr_unit,53.88378305091171,-0.6587100818496548,"Entered long MSFT at $24.93, sized to risk 1.0% of equity (N=$0.34, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $24.48 (-1.82%, down, -0.7R) because price closed back below its 20-day moving average (trend exit)."
SPY,2012-09-06,112.76824188232422,2012-09-26,112.99171447753906,18.976830786546525,4.24080162482278,0.19816979628718662,trend_exit,atr_unit,33.505735131811484,0.12656942485038683,"Entered long SPY at $112.77, sized to risk 1.0% of equity (N=$0.88, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $112.99 (+0.20%, up, +0.1R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-09-12,20.136533737182617,2012-09-25,20.24927520751953,105.47675610387004,11.891604569518222,0.5598851908098468,trend_exit,atr_unit,76.26036610846572,0.15593427066170518,"Entered long AAPL at $20.14, sized to risk 1.0% of equity (N=$0.36, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $20.25 (+0.56%, up, +0.2R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2012-09-27,20.483177185058594,2012-09-28,20.055662155151367,103.75914471200127,-44.35859385469939,-2.0871519395881437,trend_exit,atr_unit,74.01084388998586,-0.5993526289287642,"Entered long AAPL at $20.48, sized to risk 1.0% of equity (N=$0.36, stop 2.0N away) because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $20.06 (-2.09%, down, -0.6R) because price closed back below its 20-day moving average (trend exit)."
